0	1	2	3	4	5	6
1101074	300544	3	1	À la fin avril, Savigny !	À la fin avril, Savigny !	False
1005392	500200	13	0.619	À Marcel Perrette  C’est un pays sombre et triste ; la route vous guide par des courbes douces au regard dans une auberge revernie.	C’est un pays sombre et triste ; la route d’E. vous guide par des courbes douces au regard dans une auberge revenue.	False
1005392	701677	14	0.7	À Marcel Perrette  C’est un pays sombre et triste ; la route vous guide par des courbes douces au regard dans une auberge revernie.	C’est un pays sombre et triste ; la route d’Eclépens vous guide par des courbes douces au regard dans une auberge revernie.	False
1007525	200512	6	0.6666	À Maurice Chappaz […] Mais je veux vous parler d’un autre pays inconnu.	Mais je veux vous parler d’un autre pays inconnu.	False
1102331	300612	14	0.8235	À mes mortes, pourquoi ces ailes sur ma main Sans cesse qui palpitent, laissant choir À mes paumes leur impalpable cendre ?	Âmes mortes, pourquoi ces ailes sur ma main Sans cesse qui palpitent, laissant choir À mes paumes leur impalpable cendre ?	False
1100374	200430	7	1	à mon insu me préparaient an spectacle de leur massacre.	à mon insu me préparaient an spectacle de leur massacre.	False
1100936	600206	19	0.7307	A notre gauche, vers le couchant, tout un grand pays apparaît, sillonné de coteaux légers, taché de Villages rouges aux beaux noms jusqu’au mol trait bleu de gentiane du Jura.	À notre gauche, vers le couchant, un vaste pays apparaît, sillonné de coteaux légers, taché de villages rouges aux beaux noms jusqu’au mol trait bleu de gentiane du Jura.	False
1100903	600131	21	0.6176	A notre tour nous goûterons ce calme et ce repos sur le banc de ferme, au bord de la route fraichement balayée où le balai a dessiné de grands arcs, comme une faux.	Laissons-nous envahir à notre tour par ce calme et ce repos, sur le banc de ferme, au bord de la route fraîchement balayée où le balai a dessiné de grands arcs dans la poussière, comme une faux.	False
1104406	300324	21	1	À peine l’en avais-je prié que le plus jeune rechantait pour moi seul, du premier au dernier vers, la complainte de la Gina, la triste amante délaissée.	À peine l’en avais-je prié que le plus jeune rechantait pour moi seul, du premier au dernier vers, la complainte de la Gina, la triste amante délaissée.	False
1102300	300184	10	1	À peine redescendais-je qu’il se venait caresser contre moi, ronronnant à perdre haleine.	À peine redescendais-je qu’il se venait caresser contre moi, ronronnant à perdre haleine.	False
1003263	500376	16	1	À peine suis-je au revers d’une colline, mais le soleil est si bas que mon corps tout entier baigne dans l’ombre.	À peine suis-je au revers d’une colline, mais le soleil est si bas que mon corps tout entier baigne dans l’ombre.	False
1003263	700900	15	0.8823	À peine suis-je au revers d’une colline, mais le soleil est si bas que mon corps tout entier baigne dans l’ombre.	A peine suis-je au revers d’une colline, mais le soleil est si bas que mon corps tout entier baigne dans l’ombre.	False
1004794	500424	3	1	À qui demander le sommeil ?	À qui demander le sommeil ?	False
1101878	800001	28	0.9655	À René Balsiger  Que l’anneau des forêts vienne enclore un espace de champs et de prairies, ce lieu tout aussitôt se met à vivre d’une vie singulière derrière sa haute muraille de frondaisons et de fûts.	L’ENCLAVE à René Balsiger  Que l’anneau des forêts vienne enclore un espace de champs et de prairies, ce lieu tout aussitôt se met à vivre d’une vie singulière derrière sa haute muraille de frondaisons et de fûts.	False
1007419	900382	17	1	A travers les rameaux nus, le soleil de glace là-bas colore un morceau de colline pâle où luit l’éclair d’un dernier soc...	A travers les rameaux nus, le soleil de glace là-bas colore un morceau de colline pâle où luit l’éclair d’un dernier soc...	False
1005775	100006	27	1	À travers vos lueurs plus douces qu’un lac d’huile Lampes, mon corps sans poids monte, nageur léger, Et laissant le sommeil rompre une paix fragile, Glisse au gouffre où sans cris ses ruses l’ont plongé.	À travers vos lueurs plus douces qu’un lac d’huile Lampes, mon corps sans poids monte, nageur léger, Et laissant le sommeil rompre une paix fragile, Glisse au gouffre où sans cris ses ruses l’ont plongé.	False
1004192	706519	19	0.5277	À trente mètres d’ici je vois un cerisier pâlir tout entier, mais sa valeur change sans que le dessin devienne flou : tout parallèlement s’amenuise jusqu’à l’instant de la disparition dans de l’argent.	A  mètres d’ici (Olivier et le char approchent) je vois un cerisier pâlir tout entier mais cette grisaille change de valeur sans que le dessin devienne flou – tout parallèlement s’amenuise jusqu’à l’instant de la disparition dans de l’argent.	False
1103116	200561	6	0.6	Absolu de la solitude… Rien n’entrave son triomphe, je vous le dis, Chappaz.	Rien n’entrave son triomphe, je vous le dis, Chappaz.	False
1007566	200561	6	0.6	Absolu de la solitude… Rien n’entrave son triomphe, je vous le dis, Chappaz.	Rien n’entrave son triomphe, je vous le dis, Chappaz.	False
1002090	200746	2	1	Adieu Hélène, adieu Pierre.	Adieu Hélène, adieu Pierre.	False
1005851	200746	2	1	Adieu Hélène, adieu Pierre.	Adieu Hélène, adieu Pierre.	False
1005851	600182	2	1	Adieu Hélène, adieu Pierre.	Adieu Hélène, adieu Pierre.	False
1002090	600182	2	1	Adieu Hélène, adieu Pierre.	Adieu Hélène, adieu Pierre.	False
1008303	200677	15	1	Adolescence aux mains vidées et qui n’osait même plus les tendre, retranchée – et toute parole impossible – dans son inexorable différence !	Adolescence aux mains vidées et qui n’osait même plus les tendre, retranchée – et toute parole impossible – dans son inexorable différence !	False
1006602	200215	6	0.8571	Ah c’est bien l’hiver, et le temps n’est pas aboli !	c’est bien l’hiver, et le temps n’est pas aboli !	False
1002975	300063	20	0.9523	Ah laissez notre regard paître cette verdure universelle, avant la fatigue qui la saisit trop tôt, quand le cœur reconnaît avec effroi la menace irrécusable de l’automne !	laissez notre regard paître cette verdure universelle, avant la fatigue qui la saisit trop tôt quand le cœur reconnaît avec effroi la menace irrécusable de l’automne !	False
1002837	900463	17	1	Ah que ne peut l’esprit torturé par les menaces de la mort, et la mort même, incessante, de tout ce qui l’entoure !	Ah que ne peut l’esprit torturé par les menaces de la mort, et la mort même, incessante, de tout ce qui l’entoure !	False
1004189	300106	7	0.875	Ah, j’ai dit, j’ai dit adieu à ce passé trop lourd.	J’ai dit, j’ai dit adieu à ce passé trop lourd.	False
1004185	300102	3	0.75	Ah, je suis libre, libre, libre !	Ah, je suis libre, libre !	False
1003560	300156	39	1	Ah, n’avoir pas fait silence tout l’été pour surprendre son chant infatigable, et ce qu’il disait sans relâche, nuit et jour, d’un bout à l’autre du monde, bondissant du fond de l’horizon parmi les vergers et les forêts, pliant d’un seul coup les cimes et leur poids de feuilles fraîches !	Ah n’avoir pas fait silence tout l’été pour surprendre son chant infatigable et ce qu’il disait sans relâche, nuit et jour, d’un bout à l’autre du monde, bondissant du fond de l’horizon parmi les vergers et les forêts, pliant d’un seul coup les cimes et leur poids de feuilles fraîches !	False
1101783	800076	41	0.8367	Ah, qu’importe, et qu’importe si j’appuie à la crinière de ton cheval une main tout de suite mouillée, tandis que tu me parles sans hâte, un peu haletant encore de la course, le regard comme une eau plus pure et plus sombre sous les cils battus par l’averse, le visage rosi contre l’âcre vert de la prairie piétinée !	qu’importe, et qu’importe si j’appuie à la crinière de ton cheval une main tout de suite mouillée, tandis que tu me parles sans hâte, un peu haletant encore de la course, le regard comme une eau plus pure et plus sombre sous les cils battus par l’averse, le visage rosi contre l’âcre vert des prairies piétinées !	False
1100009	800076	44	0.9777	Ah, qu’importe, et qu’importe si j’appuie à la crinière de ton cheval une main tout de suite mouillée, tandis que tu me parles sans hâte, un peu haletant encore de la course, le regard comme une eau plus pure et plus sombre sous les cils battus par l’averse, le visage rosi contre l’âcre vert des prairies piétinées !	qu’importe, et qu’importe si j’appuie à la crinière de ton cheval une main tout de suite mouillée, tandis que tu me parles sans hâte, un peu haletant encore de la course, le regard comme une eau plus pure et plus sombre sous les cils battus par l’averse, le visage rosi contre l’âcre vert des prairies piétinées !	False
1004868	200767	2	1	Ah, qui es-tu ?	Ah, qui es-tu ?	False
1004868	702451	2	1	Ah, qui es-tu ?	Ah, qui es-tu ?	False
